Entity,Day,Daily new confirmed cases of COVID-19
Indonesia,29-avr.-21,5833
Indonesia,30-avr.-21,5500
Indonesia,1-mai-21,4512
Indonesia,2-mai-21,4394
Indonesia,3-mai-21,4730
Indonesia,4-mai-21,4369
Indonesia,5-mai-21,5285
Indonesia,6-mai-21,5647
Indonesia,7-mai-21,6327
Indonesia,8-mai-21,6130
Indonesia,9-mai-21,3922
Indonesia,10-mai-21,4891
Indonesia,11-mai-21,5021
Indonesia,12-mai-21,4608
Indonesia,13-mai-21,3448
Indonesia,14-mai-21,2633
Indonesia,15-mai-21,2385
Indonesia,16-mai-21,3080
Indonesia,17-mai-21,4295
Indonesia,18-mai-21,4185
Indonesia,19-mai-21,4871
Indonesia,20-mai-21,5797
Indonesia,21-mai-21,5746
Indonesia,22-mai-21,5296
Indonesia,23-mai-21,5280
Indonesia,24-mai-21,5907
Indonesia,25-mai-21,5060
Indonesia,26-mai-21,5034
Indonesia,27-mai-21,6278
Indonesia,28-mai-21,5862
Indonesia,29-mai-21,6565
Indonesia,30-mai-21,6115
Indonesia,31-mai-21,5662
Indonesia,1-juin-21,4824
Indonesia,2-juin-21,5246
Indonesia,3-juin-21,5353
Indonesia,4-juin-21,6486
Indonesia,5-juin-21,6594
Indonesia,6-juin-21,5832
Indonesia,7-juin-21,6993
Indonesia,8-juin-21,6294
Indonesia,9-juin-21,7725
Indonesia,10-juin-21,8892
Indonesia,11-juin-21,8083
Indonesia,12-juin-21,7465
Indonesia,13-juin-21,9868
Indonesia,14-juin-21,8189
Indonesia,15-juin-21,8161
Indonesia,16-juin-21,9944
Indonesia,17-juin-21,12624
Indonesia,18-juin-21,12990
Indonesia,19-juin-21,12906
Indonesia,20-juin-21,13737
Indonesia,21-juin-21,14536
Indonesia,22-juin-21,13668
Indonesia,23-juin-21,15308
Indonesia,24-juin-21,20574
Indonesia,25-juin-21,18872
Indonesia,26-juin-21,21095
Indonesia,27-juin-21,21342
Indonesia,28-juin-21,20694
Indonesia,29-juin-21,20467
Indonesia,30-juin-21,21807
Indonesia,1-juil.-21,24836
Indonesia,2-juil.-21,25830
Indonesia,3-juil.-21,27913
Indonesia,4-juil.-21,27233
Indonesia,5-juil.-21,29745
Indonesia,6-juil.-21,31189
Indonesia,7-juil.-21,34379
Indonesia,8-juil.-21,38391
Indonesia,9-juil.-21,38124
Indonesia,10-juil.-21,35094
Indonesia,11-juil.-21,36197
Indonesia,12-juil.-21,40427
Indonesia,13-juil.-21,47899
Indonesia,14-juil.-21,54517
Indonesia,15-juil.-21,56757
Indonesia,16-juil.-21,54000
Indonesia,17-juil.-21,51952
Indonesia,18-juil.-21,44721
Indonesia,19-juil.-21,34257
Indonesia,20-juil.-21,38325
Indonesia,21-juil.-21,33772
Indonesia,22-juil.-21,49509
Indonesia,23-juil.-21,49071
Indonesia,24-juil.-21,45416
Indonesia,25-juil.-21,38679
Indonesia,26-juil.-21,28228
Indonesia,27-juil.-21,45203
Indonesia,28-juil.-21,47791
Indonesia,29-juil.-21,43479
Indonesia,30-juil.-21,41168
Indonesia,31-juil.-21,37284
Indonesia,1-août-21,30738
Indonesia,2-août-21,22404
Indonesia,3-août-21,33900
Indonesia,4-août-21,35867
Indonesia,5-août-21,35764
Indonesia,6-août-21,39532
Indonesia,7-août-21,31753
Indonesia,8-août-21,26415
Indonesia,9-août-21,20709
Indonesia,10-août-21,32081
Indonesia,11-août-21,30625
Indonesia,12-août-21,24709
Indonesia,13-août-21,30788
Indonesia,14-août-21,28598
Indonesia,15-août-21,20813
Indonesia,16-août-21,17384
Indonesia,17-août-21,20741
Indonesia,18-août-21,15768
Indonesia,19-août-21,22053
Indonesia,20-août-21,20004
Indonesia,21-août-21,16744
